Simulation_ID,Stock_Basket,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Total_Invested,Final_Value,Net_Profit,XIRR_Pct,Capital_Multiple,Beat_NiftyBeES,XIRR_Bucket,Bucket_Sort
1,ITC + LT + SUZLON + TCS + TITAN,ITC,LT,SUZLON,TCS,TITAN,2010000.0,9866495.46,7856495.46,17.05,4.91,1,15% - 18% (Solid Alpha),4
2,ASIANPAINT + IDEA + ITC + TATAPOWER + TCS,ASIANPAINT,IDEA,ITC,TATAPOWER,TCS,2010000.0,5102515.84,3092515.84,10.32,2.54,0,8% - 12% (Moderate),2
3,ASIANPAINT + BAJFINANCE + ITC + M&M + TATAPOWER,ASIANPAINT,BAJFINANCE,ITC,M&M,TATAPOWER,2010000.0,24325044.16,22315044.16,26.0,12.1,1,> 22% (Exceptional),6
4,BAJFINANCE + INFY + LT + M&M + RELIANCE,BAJFINANCE,INFY,LT,M&M,RELIANCE,2010000.0,24628067.38,22618067.38,26.12,12.25,1,> 22% (Exceptional),6
5,BAJFINANCE + ICICIBANK + RELIANCE + TCS + YESBANK,BAJFINANCE,ICICIBANK,RELIANCE,TCS,YESBANK,2010000.0,23041577.99,21031577.99,25.47,11.46,1,> 22% (Exceptional),6
6,BAJFINANCE + ICICIBANK + IDEA + M&M + RELIANCE,BAJFINANCE,ICICIBANK,IDEA,M&M,RELIANCE,2010000.0,24378802.11,22368802.11,26.02,12.13,1,> 22% (Exceptional),6
7,ASIANPAINT + INFY + RELIANCE + TMPV + TRENT,ASIANPAINT,INFY,RELIANCE,TMPV,TRENT,2010000.0,9742589.11,7732589.11,16.93,4.85,1,15% - 18% (Solid Alpha),4
8,ASIANPAINT + ICICIBANK + TATAPOWER + TITAN + TMPV,ASIANPAINT,ICICIBANK,TATAPOWER,TITAN,TMPV,2010000.0,10276714.36,8266714.36,17.46,5.11,1,15% - 18% (Solid Alpha),4
9,LT + RELIANCE + TCS + TITAN + TRENT,LT,RELIANCE,TCS,TITAN,TRENT,2010000.0,14333834.97,12323834.97,20.77,7.13,1,18% - 22% (High Alpha),5
10,IDEA + ITC + LT + RELIANCE + TMPV,IDEA,ITC,LT,RELIANCE,TMPV,2010000.0,4677426.91,2667426.91,9.41,2.33,0,8% - 12% (Moderate),2
11,ASIANPAINT + ICICIBANK + ITC + M&M + TATAPOWER,ASIANPAINT,ICICIBANK,ITC,M&M,TATAPOWER,2010000.0,7906658.53,5896658.53,14.82,3.93,1,12% - 15% (Index Level),3
12,INFY + ITC + LT + TCS + YESBANK,INFY,ITC,LT,TCS,YESBANK,2010000.0,4491033.07,2481033.07,8.98,2.23,0,8% - 12% (Moderate),2
13,HDFCBANK + LT + TATAPOWER + TCS + TRENT,HDFCBANK,LT,TATAPOWER,TCS,TRENT,2010000.0,10762776.43,8752776.43,17.92,5.35,1,15% - 18% (Solid Alpha),4
14,ASIANPAINT + BAJFINANCE + M&M + MARUTI + TITAN,ASIANPAINT,BAJFINANCE,M&M,MARUTI,TITAN,2010000.0,28508766.27,26498766.27,27.57,14.18,1,> 22% (Exceptional),6
15,ASIANPAINT + BAJFINANCE + LT + SBIN + TATAPOWER,ASIANPAINT,BAJFINANCE,LT,SBIN,TATAPOWER,2010000.0,24606376.09,22596376.09,26.12,12.24,1,> 22% (Exceptional),6
16,ASIANPAINT + ICICIBANK + M&M + MARUTI + TITAN,ASIANPAINT,ICICIBANK,M&M,MARUTI,TITAN,2010000.0,12090380.64,10080380.64,19.08,6.02,1,18% - 22% (High Alpha),5
17,BAJFINANCE + HDFCBANK + SBIN + TMPV + TRENT,BAJFINANCE,HDFCBANK,SBIN,TMPV,TRENT,2010000.0,26869025.4,24859025.4,26.98,13.37,1,> 22% (Exceptional),6
18,BAJFINANCE + ICICIBANK + ITC + MARUTI + SBIN,BAJFINANCE,ICICIBANK,ITC,MARUTI,SBIN,2010000.0,24229104.89,22219104.89,25.96,12.05,1,> 22% (Exceptional),6
19,ICICIBANK + LT + TATAPOWER + TITAN + TMPV,ICICIBANK,LT,TATAPOWER,TITAN,TMPV,2010000.0,10468105.01,8458105.01,17.65,5.21,1,15% - 18% (Solid Alpha),4
20,INFY + LT + M&M + SBIN + SUZLON,INFY,LT,M&M,SBIN,SUZLON,2010000.0,8028126.02,6018126.02,14.98,3.99,1,12% - 15% (Index Level),3
21,ASIANPAINT + BAJFINANCE + ITC + SBIN + TCS,ASIANPAINT,BAJFINANCE,ITC,SBIN,TCS,2010000.0,22983368.77,20973368.77,25.44,11.43,1,> 22% (Exceptional),6
22,IDEA + LT + MARUTI + SUZLON + TRENT,IDEA,LT,MARUTI,SUZLON,TRENT,2010000.0,10885494.91,8875494.91,18.04,5.42,1,18% - 22% (High Alpha),5
23,BAJFINANCE + HDFCBANK + INFY + ITC + M&M,BAJFINANCE,HDFCBANK,INFY,ITC,M&M,2010000.0,23308666.14,21298666.14,25.58,11.6,1,> 22% (Exceptional),6
24,ITC + MARUTI + RELIANCE + TCS + YESBANK,ITC,MARUTI,RELIANCE,TCS,YESBANK,2010000.0,5138015.04,3128015.04,10.39,2.56,0,8% - 12% (Moderate),2
25,MARUTI + TATAPOWER + TCS + TMPV + TRENT,MARUTI,TATAPOWER,TCS,TMPV,TRENT,2010000.0,10115550.67,8105550.67,17.3,5.03,1,15% - 18% (Solid Alpha),4
26,IDEA + ITC + LT + MARUTI + TRENT,IDEA,ITC,LT,MARUTI,TRENT,2010000.0,9832018.87,7822018.87,17.02,4.89,1,15% - 18% (Solid Alpha),4
27,HDFCBANK + LT + RELIANCE + TRENT + YESBANK,HDFCBANK,LT,RELIANCE,TRENT,YESBANK,2010000.0,9985159.59,7975159.59,17.17,4.97,1,15% - 18% (Solid Alpha),4
28,BAJFINANCE + HDFCBANK + TCS + TITAN + TRENT,BAJFINANCE,HDFCBANK,TCS,TITAN,TRENT,2010000.0,30671973.56,28661973.56,28.29,15.26,1,> 22% (Exceptional),6
29,ICICIBANK + IDEA + ITC + MARUTI + RELIANCE,ICICIBANK,IDEA,ITC,MARUTI,RELIANCE,2010000.0,6238920.69,4228920.69,12.41,3.1,1,12% - 15% (Index Level),3
30,INFY + ITC + LT + SBIN + TATAPOWER,INFY,ITC,LT,SBIN,TATAPOWER,2010000.0,6422257.02,4412257.02,12.7,3.2,1,12% - 15% (Index Level),3
31,BAJFINANCE + INFY + LT + TMPV + TRENT,BAJFINANCE,INFY,LT,TMPV,TRENT,2010000.0,26777771.16,24767771.16,26.95,13.32,1,> 22% (Exceptional),6
32,ASIANPAINT + BAJFINANCE + HDFCBANK + TATAPOWER + TITAN,ASIANPAINT,BAJFINANCE,HDFCBANK,TATAPOWER,TITAN,2010000.0,27396523.12,25386523.12,27.18,13.63,1,> 22% (Exceptional),6
33,ASIANPAINT + LT + MARUTI + RELIANCE + TMPV,ASIANPAINT,LT,MARUTI,RELIANCE,TMPV,2010000.0,6746622.99,4736622.99,13.21,3.36,1,12% - 15% (Index Level),3
34,MARUTI + SBIN + SUZLON + TCS + TMPV,MARUTI,SBIN,SUZLON,TCS,TMPV,2010000.0,6356750.78,4346750.78,12.6,3.16,1,12% - 15% (Index Level),3
35,HDFCBANK + LT + TCS + TMPV + YESBANK,HDFCBANK,LT,TCS,TMPV,YESBANK,2010000.0,4435207.94,2425207.94,8.85,2.21,0,8% - 12% (Moderate),2
36,HDFCBANK + ICICIBANK + INFY + RELIANCE + SUZLON,HDFCBANK,ICICIBANK,INFY,RELIANCE,SUZLON,2010000.0,7282032.3,5272032.3,13.99,3.62,1,12% - 15% (Index Level),3
37,BAJFINANCE + INFY + LT + TCS + TRENT,BAJFINANCE,INFY,LT,TCS,TRENT,2010000.0,27284919.48,25274919.48,27.14,13.57,1,> 22% (Exceptional),6
38,ASIANPAINT + ITC + TATAPOWER + TCS + TRENT,ASIANPAINT,ITC,TATAPOWER,TCS,TRENT,2010000.0,10138104.86,8128104.86,17.33,5.04,1,15% - 18% (Solid Alpha),4
39,BAJFINANCE + HDFCBANK + MARUTI + TCS + TMPV,BAJFINANCE,HDFCBANK,MARUTI,TCS,TMPV,2010000.0,22576224.61,20566224.61,25.27,11.23,1,> 22% (Exceptional),6
40,HDFCBANK + ICICIBANK + IDEA + SUZLON + TRENT,HDFCBANK,ICICIBANK,IDEA,SUZLON,TRENT,2010000.0,10625865.21,8615865.21,17.8,5.29,1,15% - 18% (Solid Alpha),4
41,ASIANPAINT + ICICIBANK + SUZLON + TRENT + YESBANK,ASIANPAINT,ICICIBANK,SUZLON,TRENT,YESBANK,2010000.0,10839369.82,8829369.82,17.99,5.39,1,15% - 18% (Solid Alpha),4
42,ASIANPAINT + ICICIBANK + LT + TATAPOWER + YESBANK,ASIANPAINT,ICICIBANK,LT,TATAPOWER,YESBANK,2010000.0,6940840.11,4930840.11,13.5,3.45,1,12% - 15% (Index Level),3
43,HDFCBANK + IDEA + SUZLON + TATAPOWER + TCS,HDFCBANK,IDEA,SUZLON,TATAPOWER,TCS,2010000.0,5841729.71,3831729.71,11.73,2.91,1,8% - 12% (Moderate),2
44,ASIANPAINT + ICICIBANK + MARUTI + SBIN + TATAPOWER,ASIANPAINT,ICICIBANK,MARUTI,SBIN,TATAPOWER,2010000.0,8242187.83,6232187.83,15.24,4.1,1,15% - 18% (Solid Alpha),4
45,HDFCBANK + ICICIBANK + TATAPOWER + TITAN + YESBANK,HDFCBANK,ICICIBANK,TATAPOWER,TITAN,YESBANK,2010000.0,9801314.95,7791314.95,16.99,4.88,1,15% - 18% (Solid Alpha),4
46,HDFCBANK + ICICIBANK + ITC + MARUTI + TITAN,HDFCBANK,ICICIBANK,ITC,MARUTI,TITAN,2010000.0,10300645.81,8290645.81,17.48,5.12,1,15% - 18% (Solid Alpha),4
47,INFY + LT + MARUTI + RELIANCE + SBIN,INFY,LT,MARUTI,RELIANCE,SBIN,2010000.0,7306056.85,5296056.85,14.02,3.63,1,12% - 15% (Index Level),3
48,BAJFINANCE + IDEA + MARUTI + SBIN + YESBANK,BAJFINANCE,IDEA,MARUTI,SBIN,YESBANK,2010000.0,22232149.3,20222149.3,25.11,11.06,1,> 22% (Exceptional),6
49,ASIANPAINT + HDFCBANK + ICICIBANK + ITC + SBIN,ASIANPAINT,HDFCBANK,ICICIBANK,ITC,SBIN,2010000.0,6759257.95,4749257.95,13.23,3.36,1,12% - 15% (Index Level),3
50,ICICIBANK + IDEA + MARUTI + TATAPOWER + TMPV,ICICIBANK,IDEA,MARUTI,TATAPOWER,TMPV,2010000.0,6080109.74,4070109.74,12.14,3.02,1,12% - 15% (Index Level),3
51,IDEA + INFY + M&M + TITAN + TMPV,IDEA,INFY,M&M,TITAN,TMPV,2010000.0,8734851.97,6724851.97,15.83,4.35,1,15% - 18% (Solid Alpha),4
52,ASIANPAINT + IDEA + TATAPOWER + TITAN + YESBANK,ASIANPAINT,IDEA,TATAPOWER,TITAN,YESBANK,2010000.0,8547900.98,6537900.98,15.61,4.25,1,15% - 18% (Solid Alpha),4
53,HDFCBANK + IDEA + RELIANCE + TMPV + YESBANK,HDFCBANK,IDEA,RELIANCE,TMPV,YESBANK,2010000.0,3742494.63,1732494.63,7.03,1.86,0,< 8% (Lagging Market),1
54,ASIANPAINT + ICICIBANK + IDEA + MARUTI + TITAN,ASIANPAINT,ICICIBANK,IDEA,MARUTI,TITAN,2010000.0,10286386.04,8276386.04,17.47,5.12,1,15% - 18% (Solid Alpha),4
55,IDEA + ITC + MARUTI + TMPV + TRENT,IDEA,ITC,MARUTI,TMPV,TRENT,2010000.0,8624942.94,6614942.94,15.7,4.29,1,15% - 18% (Solid Alpha),4
56,BAJFINANCE + ITC + M&M + SBIN + YESBANK,BAJFINANCE,ITC,M&M,SBIN,YESBANK,2010000.0,23043012.8,21033012.8,25.47,11.46,1,> 22% (Exceptional),6
57,INFY + SBIN + TCS + TMPV + TRENT,INFY,SBIN,TCS,TMPV,TRENT,2010000.0,9238174.59,7228174.59,16.39,4.6,1,15% - 18% (Solid Alpha),4
58,INFY + MARUTI + RELIANCE + SBIN + TCS,INFY,MARUTI,RELIANCE,SBIN,TCS,2010000.0,6606129.23,4596129.23,12.99,3.29,1,12% - 15% (Index Level),3
59,HDFCBANK + IDEA + INFY + M&M + TMPV,HDFCBANK,IDEA,INFY,M&M,TMPV,2010000.0,5054462.17,3044462.17,10.22,2.51,0,8% - 12% (Moderate),2
60,IDEA + MARUTI + SBIN + TITAN + TMPV,IDEA,MARUTI,SBIN,TITAN,TMPV,2010000.0,8849417.44,6839417.44,15.96,4.4,1,15% - 18% (Solid Alpha),4
61,BAJFINANCE + HDFCBANK + ICICIBANK + TATAPOWER + TCS,BAJFINANCE,HDFCBANK,ICICIBANK,TATAPOWER,TCS,2010000.0,24013469.64,22003469.64,25.88,11.95,1,> 22% (Exceptional),6
62,RELIANCE + SUZLON + TATAPOWER + TITAN + YESBANK,RELIANCE,SUZLON,TATAPOWER,TITAN,YESBANK,2010000.0,9996104.3,7986104.3,17.18,4.97,1,15% - 18% (Solid Alpha),4
63,ASIANPAINT + HDFCBANK + MARUTI + SUZLON + TRENT,ASIANPAINT,HDFCBANK,MARUTI,SUZLON,TRENT,2010000.0,11455907.09,9445907.09,18.55,5.7,1,18% - 22% (High Alpha),5
64,ASIANPAINT + HDFCBANK + ICICIBANK + RELIANCE + SUZLON,ASIANPAINT,HDFCBANK,ICICIBANK,RELIANCE,SUZLON,2010000.0,7808611.54,5798611.54,14.7,3.88,1,12% - 15% (Index Level),3
