SIP_Date,Ticker,Year_Month,Year,Month_Number,SIP_Buy_Price,SIP_Close_Price,Day_of_Month_Executed
2010-01-04,ASIANPAINT.NS,2010-01,2010,1,153.8449,178.865,4
2010-02-01,ASIANPAINT.NS,2010-02,2010,2,164.9318,191.755,1
2010-03-02,ASIANPAINT.NS,2010-03,2010,3,160.8377,186.995,2
2010-04-01,ASIANPAINT.NS,2010-04,2010,4,173.8513,202.125,1
2010-05-03,ASIANPAINT.NS,2010-05,2010,5,179.2701,208.425,3
2010-06-01,ASIANPAINT.NS,2010-06,2010,6,178.668,207.725,1
2010-07-01,ASIANPAINT.NS,2010-07,2010,7,201.9688,232.975,1
2010-08-02,ASIANPAINT.NS,2010-08,2010,8,227.4213,262.335,2
2010-09-01,ASIANPAINT.NS,2010-09,2010,9,237.4255,273.875,1
2010-10-01,ASIANPAINT.NS,2010-10,2010,10,230.9887,266.45,1
2010-11-01,ASIANPAINT.NS,2010-11,2010,11,235.2591,270.505,1
2010-12-01,ASIANPAINT.NS,2010-12,2010,12,233.1152,268.04,1
2011-01-03,ASIANPAINT.NS,2011-01,2011,1,250.0005,287.455,3
2011-02-01,ASIANPAINT.NS,2011-02,2011,2,216.3734,248.79,1
2011-03-01,ASIANPAINT.NS,2011-03,2011,3,220.2784,253.28,1
2011-04-01,ASIANPAINT.NS,2011-04,2011,4,219.213,252.055,1
2011-05-02,ASIANPAINT.NS,2011-05,2011,5,238.5683,274.31,2
2011-06-01,ASIANPAINT.NS,2011-06,2011,6,275.6394,316.935,1
2011-07-01,ASIANPAINT.NS,2011-07,2011,7,290.3447,331.395,1
2011-08-01,ASIANPAINT.NS,2011-08,2011,8,268.7831,306.785,1
2011-09-02,ASIANPAINT.NS,2011-09,2011,9,285.631,326.015,2
2011-10-03,ASIANPAINT.NS,2011-10,2011,10,274.1756,312.94,3
2011-11-01,ASIANPAINT.NS,2011-11,2011,11,275.3618,313.315,1
2011-12-01,ASIANPAINT.NS,2011-12,2011,12,245.7353,279.605,1
2012-01-02,ASIANPAINT.NS,2012-01,2012,1,227.6526,259.03,2
2012-02-01,ASIANPAINT.NS,2012-02,2012,2,257.9647,293.52,1
2012-03-01,ASIANPAINT.NS,2012-03,2012,3,276.812,314.965,1
2012-04-02,ASIANPAINT.NS,2012-04,2012,4,286.8091,326.34,2
2012-05-02,ASIANPAINT.NS,2012-05,2012,5,310.3099,353.08,2
2012-06-01,ASIANPAINT.NS,2012-06,2012,6,332.1937,377.98,1
2012-07-02,ASIANPAINT.NS,2012-07,2012,7,347.3871,392.115,2
2012-08-01,ASIANPAINT.NS,2012-08,2012,8,321.3231,362.695,1
