SIP_Date,Ticker,Year_Month,Year,Month_Number,SIP_Buy_Price,SIP_Close_Price,Day_of_Month_Executed
2010-01-04,GOLDBEES.NS,2010-01,2010,1,16.5499,16.5499,4
2010-02-01,GOLDBEES.NS,2010-02,2010,2,16.0575,16.0575,1
2010-03-02,GOLDBEES.NS,2010-03,2010,3,16.564,16.564,2
2010-04-01,GOLDBEES.NS,2010-04,2010,4,16.1534,16.1534,1
2010-05-03,GOLDBEES.NS,2010-05,2010,5,16.828,16.828,3
2010-06-01,GOLDBEES.NS,2010-06,2010,6,18.348,18.348,1
2010-07-01,GOLDBEES.NS,2010-07,2010,7,18.5555,18.5555,1
2010-08-02,GOLDBEES.NS,2010-08,2010,8,17.513,17.513,2
2010-09-01,GOLDBEES.NS,2010-09,2010,9,18.759,18.759,1
2010-10-01,GOLDBEES.NS,2010-10,2010,10,18.74,18.74,1
2010-11-01,GOLDBEES.NS,2010-11,2010,11,19.362,19.362,1
2010-12-01,GOLDBEES.NS,2010-12,2010,12,19.973,19.973,1
2011-01-03,GOLDBEES.NS,2011-01,2011,1,20.2115,20.2115,3
2011-02-01,GOLDBEES.NS,2011-02,2011,2,19.4745,19.4745,1
2011-03-01,GOLDBEES.NS,2011-03,2011,3,20.2475,20.2475,1
2011-04-01,GOLDBEES.NS,2011-04,2011,4,20.294,20.294,1
2011-05-02,GOLDBEES.NS,2011-05,2011,5,21.927,21.927,2
2011-06-01,GOLDBEES.NS,2011-06,2011,6,21.734,21.734,1
2011-07-01,GOLDBEES.NS,2011-07,2011,7,21.05,21.05,1
2011-08-01,GOLDBEES.NS,2011-08,2011,8,22.3475,22.3475,1
2011-09-02,GOLDBEES.NS,2011-09,2011,9,26.6815,26.6815,2
2011-10-03,GOLDBEES.NS,2011-10,2011,10,25.6335,25.6335,3
2011-11-01,GOLDBEES.NS,2011-11,2011,11,26.1625,26.1625,1
2011-12-01,GOLDBEES.NS,2011-12,2011,12,27.9665,27.9665,1
2012-01-02,GOLDBEES.NS,2012-01,2012,1,26.1925,26.1925,2
2012-02-01,GOLDBEES.NS,2012-02,2012,2,27.1225,27.1225,1
2012-03-01,GOLDBEES.NS,2012-03,2012,3,26.6033,26.6033,1
2012-04-02,GOLDBEES.NS,2012-04,2012,4,27.2925,27.2925,2
2012-05-02,GOLDBEES.NS,2012-05,2012,5,28.0387,28.0387,2
2012-06-01,GOLDBEES.NS,2012-06,2012,6,27.7791,27.7791,1
2012-07-02,GOLDBEES.NS,2012-07,2012,7,28.4958,28.4958,2
2012-08-01,GOLDBEES.NS,2012-08,2012,8,28.6402,28.6402,1
2012-09-03,GOLDBEES.NS,2012-09,2012,9,29.8433,29.8433,3
2012-10-01,GOLDBEES.NS,2012-10,2012,10,29.8506,29.8506,1
2012-11-01,GOLDBEES.NS,2012-11,2012,11,29.5187,29.5187,1
2012-12-03,GOLDBEES.NS,2012-12,2012,12,29.8754,29.8754,3
2013-01-01,GOLDBEES.NS,2013-01,2013,1,29.043,29.043,1
2013-02-01,GOLDBEES.NS,2013-02,2013,2,28.872,28.872,1
2013-03-01,GOLDBEES.NS,2013-03,2013,3,27.8246,27.8246,1
2013-04-01,GOLDBEES.NS,2013-04,2013,4,28.2481,28.2481,1
2013-05-02,GOLDBEES.NS,2013-05,2013,5,25.3769,25.3769,2
2013-06-03,GOLDBEES.NS,2013-06,2013,6,25.5565,25.5565,3
2013-07-01,GOLDBEES.NS,2013-07,2013,7,24.443,24.443,1
2013-08-01,GOLDBEES.NS,2013-08,2013,8,26.3345,26.3345,1
2013-09-02,GOLDBEES.NS,2013-09,2013,9,29.2095,29.2095,2
2013-10-01,GOLDBEES.NS,2013-10,2013,10,28.077,28.077,1
2013-11-01,GOLDBEES.NS,2013-11,2013,11,28.8095,28.8095,1
2013-12-02,GOLDBEES.NS,2013-12,2013,12,28.603,28.603,2
2014-01-01,GOLDBEES.NS,2014-01,2014,1,27.243,27.243,1
2014-02-03,GOLDBEES.NS,2014-02,2014,2,27.6045,27.6045,3
2014-03-03,GOLDBEES.NS,2014-03,2014,3,28.6155,28.6155,3
2014-04-01,GOLDBEES.NS,2014-04,2014,4,26.7775,26.7775,1
2014-05-02,GOLDBEES.NS,2014-05,2014,5,27.84,27.84,2
2014-06-02,GOLDBEES.NS,2014-06,2014,6,24.8015,24.8015,2
2014-07-01,GOLDBEES.NS,2014-07,2014,7,26.078,26.078,1
2014-08-01,GOLDBEES.NS,2014-08,2014,8,25.7875,25.7875,1
2014-09-01,GOLDBEES.NS,2014-09,2014,9,25.7095,25.7095,1
